place,start time,end time,original downtime,unit,Ripe Atlas Confirmation Ratio,notes,downtime,Service Name
cn-nanjing,29 Aug 2022 19:28 PDT,29 Aug 2022 19:29 PDT,1.27,mins,NA,None,1.27,Alibaba Elastic Compute Service
cn-nanjing,29 Aug 2022 07:13 PDT,29 Aug 2022 07:16 PDT,3.18,mins,NA,None,3.18,Alibaba Elastic Compute Service
cn-nanjing,29 Aug 2022 03:01 PDT,29 Aug 2022 03:02 PDT,1.10,mins,NA,None,1.1,Alibaba Elastic Compute Service
cn-nanjing,28 Aug 2022 22:05 PDT,28 Aug 2022 22:08 PDT,2.45,mins,NA,None,2.45,Alibaba Elastic Compute Service
cn-nanjing,28 Aug 2022 07:54 PDT,28 Aug 2022 07:56 PDT,1.93,mins,NA,None,1.93,Alibaba Elastic Compute Service
cn-nanjing,28 Aug 2022 07:35 PDT,28 Aug 2022 07:48 PDT,13.30,mins,NA,None,13.3,Alibaba Elastic Compute Service
cn-nanjing,28 Aug 2022 06:11 PDT,28 Aug 2022 06:13 PDT,2.22,mins,NA,None,2.22,Alibaba Elastic Compute Service
cn-nanjing,28 Aug 2022 00:38 PDT,28 Aug 2022 00:39 PDT,1.03,mins,NA,None,1.03,Alibaba Elastic Compute Service
cn-nanjing,28 Aug 2022 00:01 PDT,28 Aug 2022 00:02 PDT,1.05,mins,NA,None,1.05,Alibaba Elastic Compute Service
cn-nanjing,27 Aug 2022 08:29 PDT,27 Aug 2022 08:29 PDT,40,secs,NA,None,0.6666666666666666,Alibaba Elastic Compute Service
cn-nanjing,27 Aug 2022 06:32 PDT,27 Aug 2022 06:34 PDT,2.12,mins,NA,None,2.12,Alibaba Elastic Compute Service
cn-nanjing,26 Aug 2022 09:55 PDT,26 Aug 2022 09:56 PDT,1.18,mins,NA,None,1.18,Alibaba Elastic Compute Service
cn-nanjing,25 Aug 2022 22:26 PDT,25 Aug 2022 22:27 PDT,1.47,mins,NA,None,1.47,Alibaba Elastic Compute Service
cn-nanjing,25 Aug 2022 21:55 PDT,25 Aug 2022 21:56 PDT,44,secs,NA,None,0.7333333333333333,Alibaba Elastic Compute Service
cn-nanjing,22 Aug 2022 12:15 PDT,22 Aug 2022 12:22 PDT,6.58,mins,NA,None,6.58,Alibaba Elastic Compute Service
cn-nanjing,21 Aug 2022 16:38 PDT,21 Aug 2022 16:40 PDT,1.42,mins,NA,None,1.42,Alibaba Elastic Compute Service
cn-nanjing,21 Aug 2022 14:23 PDT,21 Aug 2022 14:25 PDT,1.05,mins,NA,None,1.05,Alibaba Elastic Compute Service
cn-nanjing,21 Aug 2022 10:09 PDT,21 Aug 2022 10:10 PDT,1.15,mins,NA,None,1.15,Alibaba Elastic Compute Service
cn-nanjing,21 Aug 2022 06:30 PDT,21 Aug 2022 06:30 PDT,40,secs,NA,None,0.6666666666666666,Alibaba Elastic Compute Service
cn-nanjing,21 Aug 2022 03:17 PDT,21 Aug 2022 03:17 PDT,34,secs,NA,None,0.5666666666666667,Alibaba Elastic Compute Service
cn-nanjing,21 Aug 2022 02:32 PDT,21 Aug 2022 02:33 PDT,1.22,mins,NA,None,1.22,Alibaba Elastic Compute Service
cn-nanjing,20 Aug 2022 18:21 PDT,20 Aug 2022 18:22 PDT,49,secs,NA,None,0.8166666666666667,Alibaba Elastic Compute Service
cn-nanjing,20 Aug 2022 13:56 PDT,20 Aug 2022 13:57 PDT,44,secs,NA,None,0.7333333333333333,Alibaba Elastic Compute Service
cn-nanjing,20 Aug 2022 12:36 PDT,20 Aug 2022 12:38 PDT,2.05,mins,NA,None,2.05,Alibaba Elastic Compute Service
cn-nanjing,20 Aug 2022 06:25 PDT,20 Aug 2022 06:26 PDT,42,secs,NA,None,0.7,Alibaba Elastic Compute Service
